"HBCx14_Carboplatin1","HBCx14_chemonaive1","HBCx14_chemonaive2","HBCx14_Carboplatin2","HBCx14_Carboplatin3","HBCx14_Carboplatin4","HBCx14_Carboplatin5","HBCx14_chemonaive3","Symbol"
2506,4129,4506,2154,3264,3050,2917,5556,"KPNA6"
25353,87826,75969,20781,35691,33795,31384,90472,"VIM"
159,332,236,158,195,176,229,336,"RTEL1-TNFRSF6B"
264,346,376,284,301,461,358,453,"FAS"
1111,1767,2008,1073,1467,1364,1609,2480,"RNASET2"
7269,9217,12605,6207,10941,8034,8296,13696,"CD44"
787,1018,939,784,1166,969,904,1414,"KCNG1"
836,1986,2513,600,878,922,867,2548,"AGPAT4"
6,2,0,2,2,10,4,2,"SLAMF7"
989,1065,1198,492,1178,897,681,1249,"BTN3A1"
245,471,459,214,286,317,305,586,"MIPEP"
384,561,635,369,534,510,410,671,"PRKCH"
4,1,0,1,1,1,5,1,"INSRR"
2603,2626,2851,2062,3774,3547,2730,3263,"IFNGR1"
608,962,958,581,811,753,861,1198,"B4GALT7"
217,220,217,135,301,263,223,251,"SH2D2A"
694,1336,1301,565,926,916,733,1410,"VRK2"
79,26,38,82,122,98,108,27,"TNFRSF1B"
1186,2078,2256,981,1392,1411,1270,2610,"VEZT"
414,258,244,428,562,527,509,284,"POU2F2"
1920,2412,2674,1364,2241,1901,1849,2826,"BRD9"
1952,3350,3387,1695,2570,2280,2344,3701,"SNX1"
634,894,924,555,859,854,686,1334,"TBPL1"
819,1819,2171,390,1039,906,606,2620,"ARNTL2"
3882,6077,7197,3325,4607,4673,4377,8440,"BCLAF1"
1459,2572,2617,972,1779,1563,1422,3224,"SLC39A9"
5,6,5,8,7,4,3,9,"ANK1"
0,0,0,0,0,0,0,0,"IBSP"
324,522,647,277,403,442,410,889,"TFB1M"
1098,1906,2126,943,1361,1240,1309,2525,"RABEP1"
4576,7919,7830,4798,6568,6565,6170,10422,"HMGB3"
2438,4148,4425,2064,3207,2953,2359,5836,"NUP160"
533,719,785,530,789,751,656,1125,"BAK1"
0,0,0,0,0,0,0,0,"MUSK"
295,919,936,338,363,440,446,1151,"IKZF2"
